,bought_qty,sold_qty,bought_value,sold_value,total_fees,gross_pnl,net_pnl,open_buy_qty,open_sell_qty,aggress_edge,submitted,fill_ratio,date
0,817,818,123423000.0,123580000.0,-212.55,4965.0,4752.45,0,0,1.2,1471,0.5557443915703603,20210105
1,711,713,109792000.0,110102000.0,-185.12,1790.0,1604.88,0,0,1.2,1559,0.4567030147530468,20210111
2,590,588,91355300.0,91047300.0,-153.14,1455.0,1301.86,0,0,1.2,1134,0.5194003527336861,20210113
3,1046,1046,160664000.0,160667000.0,-271.96,3160.0,2888.04,0,0,1.2,2255,0.4638580931263858,20210125
4,546,546,84484800.0,84485800.0,-141.96,1080.0,938.04,0,0,1.2,1030,0.5300970873786408,20210107
5,443,445,68706600.0,69019000.0,-115.44,1610.0,1494.56,0,0,1.2,748,0.5935828877005348,20210120
6,375,376,58298800.0,58456300.0,-97.63,2090.0,1992.37,0,0,1.2,654,0.5741590214067278,20210121
7,873,872,134054000.0,133905000.0,-226.85,4750.0,4523.15,0,0,1.2,1862,0.4685821697099893,20210115
8,963,961,148692000.0,148388000.0,-250.12,6450.0,6199.88,0,0,1.2,1851,0.5197190707725554,20210108
9,801,801,123804000.0,123808000.0,-208.26,3530.0,3321.74,0,0,1.2,1770,0.45254237288135596,20210112
10,1421,1422,213397000.0,213562000.0,-369.59,14230.0,13860.41,0,0,1.2,2900,0.49017241379310345,20210104
11,431,432,66853100.0,67010200.0,-112.19,2555.0,2442.81,0,0,1.2,805,0.5360248447204969,20210114
12,1139,1137,174712000.0,174413000.0,-295.88,8535.0,8239.12,0,0,1.2,3143,0.3620744511613109,20210106
13,465,465,71717300.0,71718800.0,-120.9,1495.0,1374.1,0,0,1.2,890,0.5224719101123596,20210119
14,288,290,44508800.0,44820000.0,-75.14,2295.0,2219.86,0,0,1.2,536,0.539179104477612,20210122
15,152,152,22962700.0,22964300.0,-39.52,1660.0,1620.48,0,0,2.6,199,0.7638190954773869,20210105
16,114,114,17595700.0,17596600.0,-29.64,895.0,865.36,0,0,2.6,158,0.7215189873417721,20210111
17,81,80,12544400.0,12390100.0,-20.93,520.0,499.07,0,0,2.6,105,0.7666666666666667,20210113
18,217,218,33306000.0,33462500.0,-56.55,2105.0,2048.45,0,0,2.6,262,0.8301526717557252,20210125
19,75,76,11602100.0,11758300.0,-19.63,1510.0,1490.37,0,0,2.6,101,0.7475247524752475,20210107
20,47,49,7287440.0,7599890.0,-12.48,1690.0,1677.52,0,0,2.6,66,0.7272727272727273,20210120
21,60,60,9327380.0,9327500.0,-15.6,125.0,109.4,0,0,2.6,83,0.7228915662650602,20210121
22,123,123,18882700.0,18884500.0,-31.98,1810.0,1778.02,0,0,2.6,173,0.7109826589595376,20210115
23,161,163,24869500.0,25180800.0,-42.12,1440.0,1397.88,0,0,2.6,215,0.7534883720930232,20210108
24,139,137,21485400.0,21177700.0,-35.88,1865.0,1829.12,0,0,2.6,214,0.6448598130841121,20210112
25,262,262,39325000.0,39330300.0,-68.12,5385.0,5316.88,0,0,2.6,321,0.8161993769470405,20210104
26,51,51,7904480.0,7905440.0,-13.26,960.0,946.74,0,0,2.6,71,0.7183098591549296,20210114
27,313,313,47998700.0,48007500.0,-81.38,8810.0,8728.62,0,0,2.6,394,0.7944162436548223,20210106
28,58,58,8945690.0,8946220.0,-15.08,535.0,519.92,0,0,2.6,75,0.7733333333333333,20210119
29,23,25,3555160.0,3865260.0,-6.24,1160.0,1153.76,0,0,2.6,29,0.8275862068965517,20210122
30,216,216,32628600.0,32631200.0,-56.16,2600.0,2543.84,0,0,2.2,270,0.8,20210105
31,192,194,29633900.0,29943900.0,-50.18,930.0,879.82,0,0,2.2,260,0.7423076923076923,20210111
32,118,119,18272100.0,18428600.0,-30.81,1800.0,1769.19,0,0,2.2,155,0.7645161290322581,20210113
33,341,341,52324800.0,52327100.0,-88.66,2335.0,2246.34,0,0,2.2,419,0.8138424821002387,20210125
34,108,109,16704100.0,16860800.0,-28.21,2100.0,2071.79,0,0,2.2,160,0.678125,20210107
35,84,86,13024300.0,13336800.0,-22.1,1680.0,1657.9,0,0,2.2,101,0.8415841584158416,20210120
36,64,64,9947520.0,9948040.0,-16.64,530.0,513.36,0,0,2.2,80,0.8,20210121
37,189,190,29002800.0,29159000.0,-49.27,2640.0,2590.73,0,0,2.2,265,0.7150943396226415,20210115
38,234,236,36136900.0,36449400.0,-61.1,2580.0,2518.9,0,0,2.2,310,0.7580645161290323,20210108
39,181,180,27969100.0,27816400.0,-46.93,2085.0,2038.07,0,0,2.2,291,0.6202749140893471,20210112
40,372,372,55835400.0,55842900.0,-96.72,7525.0,7428.28,0,0,2.2,479,0.7766179540709812,20210104
41,74,73,11471500.0,11317500.0,-19.11,475.0,455.89,0,0,2.2,114,0.6447368421052632,20210114
42,464,464,71125700.0,71134600.0,-120.64,8905.0,8784.36,0,0,2.2,613,0.7569331158238173,20210106
43,87,87,13420800.0,13421100.0,-22.62,285.0,262.38,0,0,2.2,119,0.7310924369747899,20210119
44,43,43,6645190.0,6647000.0,-11.18,1815.0,1803.82,0,0,2.2,50,0.86,20210122
45,3588,3588,542325000.0,542313000.0,-932.88,-12035.0,-12967.88,0,0,0.4,7090,0.506064880112835,20210105
46,3082,3082,476189000.0,476174000.0,-801.32,-14355.0,-15156.32,0,0,0.4,7249,0.4251620913229411,20210111
47,3126,3126,484152000.0,484140000.0,-812.76,-11425.0,-12237.76,0,0,0.4,6729,0.46455639768167634,20210113
48,3347,3348,514719000.0,514855000.0,-870.35,-18475.0,-19345.35,0,0,0.4,7521,0.44508708948278153,20210125
49,3292,3294,509712000.0,510007000.0,-856.18,-14385.0,-15241.18,0,0,0.4,6637,0.49615790266686755,20210107
50,3139,3141,487067000.0,487366000.0,-816.4,-11320.0,-12136.4,0,0,0.4,5782,0.5430646835005188,20210120
51,2871,2871,446330000.0,446319000.0,-746.46,-10990.0,-11736.46,0,0,0.4,5503,0.5217154279483918,20210121
52,3369,3371,517912000.0,518207000.0,-876.2,-12040.0,-12916.2,0,0,0.4,7659,0.4400052226139183,20210115
53,3503,3503,540897000.0,540887000.0,-910.78,-10165.0,-11075.78,0,0,0.4,7992,0.4383133133133133,20210108
54,2789,2790,431247000.0,431391000.0,-725.27,-10810.0,-11535.27,0,0,0.4,7871,0.3544022360564096,20210112
55,3565,3565,535531000.0,535517000.0,-926.9,-13955.0,-14881.9,0,0,0.4,8420,0.42339667458432306,20210104
56,3115,3117,483539000.0,483836000.0,-810.16,-12050.0,-12860.16,0,0,0.4,6340,0.4914826498422713,20210114
57,3008,3009,462338000.0,462480000.0,-782.21,-11815.0,-12597.21,0,0,0.4,8101,0.37137390445623997,20210106
58,3025,3025,466511000.0,466501000.0,-786.5,-9895.0,-10681.5,0,0,0.4,6264,0.48291826309067687,20210119
59,3012,3012,465835000.0,465823000.0,-783.12,-12190.0,-12973.12,0,0,0.4,5655,0.5326259946949602,20210122
60,272,271,41085300.0,40938200.0,-70.59,4260.0,4189.41,0,0,2.0,359,0.7562674094707521,20210105
61,235,237,36273400.0,36582700.0,-61.36,275.0,213.64,0,0,2.0,337,0.7002967359050445,20210111
62,138,139,21368100.0,21524500.0,-36.01,1620.0,1583.99,0,0,2.0,195,0.7102564102564103,20210113
63,441,441,67665900.0,67668000.0,-114.66,2110.0,1995.34,0,0,2.0,551,0.8003629764065335,20210125
64,156,158,24133100.0,24444700.0,-40.82,2160.0,2119.18,0,0,2.0,235,0.6680851063829787,20210107
65,96,98,14888100.0,15200100.0,-25.22,1285.0,1259.78,0,0,2.0,129,0.751937984496124,20210120
